epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82986,1.31276,4.37491,1.4924,0.58947,0.53858,0.60075,0.40681,1.12154,6.49365,1.45698,0.00016,0.00016,0.00016
2,9.40056,1.193,2.61567,1.41112,0.65593,0.75,0.72662,0.46825,1.21884,8.11731,1.59358,0.00033439,0.00033439,0.00033439
3,13.1923,1.08534,1.72572,1.35096,0.66463,0.54167,0.56607,0.356,1.45296,12.0161,2.33095,0.00050284,0.00050284,0.00050284
4,16.3259,1.10432,1.43111,1.31407,0.0063,0.58333,0.00466,0.00217,1.59109,204.779,2.24018,0.00066535,0.00066535,0.00066535
5,19.4576,1.16167,1.21357,1.34345,0.51469,0.45833,0.43825,0.23727,1.90709,5.90486,3.01775,0.00082192,0.00082192,0.00082192
6,22.9962,1.23367,1.26938,1.36624,0.12374,0.16667,0.04631,0.0111,2.89046,3.67526,3.51736,0.00097255,0.00097255,0.00097255
7,26.4578,1.22334,1.2028,1.36336,0.1848,0.29167,0.16311,0.08804,2.70336,6.27938,4.49431,0.00111724,0.00111724,0.00111724
8,29.5601,1.16575,1.24811,1.3419,0.11104,0.25,0.09682,0.0277,2.79327,15.9138,4.46333,0.00125599,0.00125599,0.00125599
9,32.5927,1.19506,1.05124,1.33202,0.27227,0.54167,0.23354,0.10954,1.73798,5.46272,2.44952,0.0013888,0.0013888,0.0013888
10,36.3884,1.28548,1.27959,1.42013,0.13409,0.29167,0.1118,0.04294,2.55289,15.2638,3.41439,0.00151567,0.00151567,0.00151567
11,39.6042,1.23784,1.24995,1.36534,0.13556,0.20833,0.16656,0.07233,2.59329,26.121,3.48261,0.0016366,0.0016366,0.0016366
12,42.6631,1.18643,1.07847,1.30893,0.0798,0.20833,0.02656,0.0069,3.76145,34.6342,4.98205,0.001637,0.001637,0.001637
13,45.6864,1.24046,1.05092,1.37306,0.07517,0.125,0.01592,0.00538,3.44548,13.8694,4.6357,0.001604,0.001604,0.001604
14,49.5009,1.18102,0.9202,1.27159,0.22417,0.375,0.1852,0.08667,2.30748,11.4306,2.86935,0.001571,0.001571,0.001571
15,52.6326,1.16725,0.9955,1.30627,0.52929,0.58333,0.45726,0.24594,1.6765,3.76089,2.08272,0.001538,0.001538,0.001538
16,55.6644,1.14479,0.94981,1.27264,0.30535,0.625,0.34645,0.19976,1.9738,4.68332,2.33124,0.001505,0.001505,0.001505
17,58.7147,1.10112,0.91953,1.26806,0.63243,0.70833,0.72663,0.41267,1.66438,1.75935,2.21148,0.001472,0.001472,0.001472
18,62.5098,1.20749,1.00076,1.3309,0.67987,0.58333,0.63929,0.38388,1.57318,2.66663,1.99856,0.001439,0.001439,0.001439
19,65.7594,1.09127,0.88838,1.26971,0.62556,0.45833,0.50799,0.26022,1.61557,2.8412,1.96133,0.001406,0.001406,0.001406
20,68.8234,1.04234,0.8369,1.19656,0.4555,0.66667,0.50402,0.31124,1.5271,2.89934,1.78441,0.001373,0.001373,0.001373
21,71.8276,1.11197,0.87033,1.24335,0.70387,0.5,0.5973,0.28919,1.79937,2.54946,2.11465,0.00134,0.00134,0.00134
